id,nome,squadra_att,detentore_cartellino,club,quot_att_mantra,tipo_contratto,ruolo,costo,priorita
1,Milik,Svincolato,Svincolato,Juventus,1,Svincolato,{Pc},0,1
2,Buffon L.,Svincolato,Svincolato,Pisa,1,Svincolato,{A},0,1
3,Moro L.,Svincolato,Svincolato,Sassuolo,2,Svincolato,{Pc},0,1
4,Skjellerup,Svincolato,Svincolato,Sassuolo,1,Svincolato,{Pc},0,1
5,Frigan,Svincolato,Svincolato,Parma,1,Svincolato,{Pc},0,1
6,Kouamè,Svincolato,Svincolato,Fiorentina,1,Svincolato,{A},0,1
7,Balentien,Svincolato,Svincolato,Milan,1,Svincolato,{A},0,1
8,Gueye,ZeroDayz FC,ZeroDayz FC,Udinese,1,Primavera,{Pc},0,1
9,Arena A.,Svincolato,Svincolato,Roma,1,Svincolato,{Pc},0,1
10,Isaac,Svincolato,Svincolato,Verona,1,Svincolato,{Pc},0,1
11,Ngonge,Baby Reijnders,Baby Reijnders,Torino,10,Indeterminato,{A},3,1
12,Benedyczak,Svincolato,Svincolato,Parma,9,Svincolato,{A},0,1
13,Buksa,Svincolato,Svincolato,Udinese,10,Svincolato,{Pc},0,1
14,Belotti,FC Pontos,FC Pontos,Cagliari,9,Indeterminato,{Pc},0,1
15,Cutrone,CyberDucks,CyberDucks,Parma,8,Indeterminato,{Pc},0,1
16,Njie,Svincolato,Svincolato,Torino,5,Svincolato,{A},0,1
17,Cheddira,Svincolato,Svincolato,Sassuolo,7,Svincolato,{Pc},0,1
18,Stulic,Svincolato,Svincolato,Lecce,6,Svincolato,{Pc},0,1
19,Kuhn,Diaolo Porco,Diaolo Porco,Como,5,Indeterminato,"{W,A}",27,1
20,Camarda,Diablitos FC,Diablitos FC,Lecce,6,Primavera,{Pc},0,1
21,Zapata D.,Sborada,Sborada,Torino,8,Indeterminato,{Pc},53,1
22,Mosquera,Svincolato,Svincolato,Verona,9,Svincolato,{Pc},0,1
23,Piccoli,CyberDucks,CyberDucks,Fiorentina,7,Indeterminato,{Pc},0,1
24,Pedro,Svincolato,Svincolato,Lazio,5,Svincolato,{A},0,1
25,Dia,CyberDucks,CyberDucks,Lazio,7,Indeterminato,{Pc},6,1
