id_giocatore,stato,note,data_inserimento
523,vendibile,,2026-08-08
450,vendibile,,2026-08-08
421,vendibile,,2026-08-08
350,vendibile,,2026-08-08
408,vendibile,,2026-08-08
242,vendibile,,2026-08-08
520,cedibile,,2026-08-09
337,cedibile,,2026-08-09
455,cedibile,,2026-08-09
378,cedibile,,2026-08-09
155,cedibile,,2026-08-09
49,cedibile,,2026-08-09
535,cedibile,,2026-08-09
45,cedibile,,2026-08-09
731,cedibile,,2026-08-09
213,cedibile,Scambio con una W/E,2026-08-09
221,prestabile,Scambio con una W/E,2026-08-09
251,prestabile,,2026-08-09
53,cedibile,Possibile prestito per coprire chi ha Thuram o Lautaro (jolly),2026-08-09
83,cedibile,Possibile scambio con una Pc semi top + cash,2026-08-09
73,prestabile,,2026-08-09
62,cedibile,Bidone,2026-08-11
404,vendibile,,2026-08-09
390,vendibile,,2026-08-09
330,cedibile,Negro,2026-08-08
171,prestabile,,2026-08-09
199,cedibile,,2026-08-09
176,cedibile,,2026-08-09
151,cedibile,,2026-08-09
77,cedibile,,2026-08-09
369,prestabile,,2026-08-09
133,vendibile,,2026-08-09
522,cedibile,Probabilmente andrà al Monza,2026-08-09
391,cedibile,,2026-08-09
358,cedibile,,2026-08-10
139,cedibile,,2026-08-09
131,cedibile,,2026-08-09
66,cedibile,,2026-08-09
395,cedibile,,2026-08-09
228,cedibile,,2026-08-10
222,cedibile,,2026-08-10
190,cedibile,,2026-08-09
148,cedibile,,2026-08-10
237,cedibile,,2026-08-09
540,cedibile,,2026-08-10
425,cedibile,Possibile scambio con una Ds/E,2026-08-09
