id,giro,numero,detentore_att,detentore_originale,id_giocatore_scelto,anno
1,1,1.0,Metodo Monchi FC,Metodo Monchi FC,441.0,2024-01-01
3,1,3.0,ZeroDayz FC,ZeroDayz FC,594.0,2024-01-01
4,1,4.0,FC Sovescio,FC Sovescio,165.0,2024-01-01
5,1,5.0,Sborada,Sborada,732.0,2024-01-01
6,1,6.0,AC Ciaccati,AC Ciaccati,53.0,2024-01-01
7,1,7.0,FC Pontos,FC Pontos,659.0,2024-01-01
8,1,8.0,CyberDucks,CyberDucks,638.0,2024-01-01
9,1,9.0,Diablitos FC,Diablitos FC,539.0,2024-01-01
10,1,10.0,Diaolo Porco,Diaolo Porco,171.0,2024-01-01
11,2,11.0,Diaolo Porco,Diaolo Porco,190.0,2024-01-01
12,2,12.0,Diablitos FC,Diablitos FC,81.0,2024-01-01
13,2,13.0,CyberDucks,CyberDucks,135.0,2024-01-01
14,2,14.0,FC Pontos,FC Pontos,615.0,2024-01-01
15,2,15.0,AC Ciaccati,AC Ciaccati,417.0,2024-01-01
16,2,16.0,Sborada,Sborada,780.0,2024-01-01
17,2,17.0,FC Sovescio,FC Sovescio,752.0,2024-01-01
18,2,18.0,ZeroDayz FC,ZeroDayz FC,749.0,2024-01-01
20,2,20.0,Metodo Monchi FC,Metodo Monchi FC,108.0,2024-01-01
21,3,21.0,Metodo Monchi FC,Metodo Monchi FC,18.0,2024-01-01
23,3,23.0,ZeroDayz FC,ZeroDayz FC,788.0,2024-01-01
24,3,24.0,FC Sovescio,FC Sovescio,169.0,2024-01-01
25,3,25.0,Sborada,Sborada,727.0,2024-01-01
26,3,26.0,AC Ciaccati,AC Ciaccati,664.0,2024-01-01
27,3,27.0,FC Pontos,FC Pontos,828.0,2024-01-01
28,3,28.0,CyberDucks,CyberDucks,141.0,2024-01-01
29,3,29.0,Diablitos FC,Diablitos FC,865.0,2024-01-01
30,3,30.0,Diaolo Porco,Diaolo Porco,746.0,2024-01-01
31,1,1.0,AC Ciaccati,AC Ciaccati,61.0,2025-01-01
32,1,2.0,FC Sovescio,FC Sovescio,268.0,2025-01-01
33,1,3.0,Sborada,Sborada,63.0,2025-01-01
34,1,4.0,CyberDucks,CyberDucks,14.0,2025-01-01
35,1,5.0,Diablitos FC,Diablitos FC,36.0,2025-01-01
36,1,6.0,FC Pontos,FC Pontos,364.0,2025-01-01
37,1,7.0,Diaolo Porco,Diaolo Porco,446.0,2025-01-01
38,1,8.0,Metodo Monchi FC,Metodo Monchi FC,722.0,2025-01-01
40,1,10.0,ZeroDayz FC,ZeroDayz FC,49.0,2025-01-01
41,2,11.0,AC Ciaccati,AC Ciaccati,309.0,2025-01-01
42,2,12.0,FC Sovescio,FC Sovescio,143.0,2025-01-01
43,2,13.0,Sborada,Sborada,174.0,2025-01-01
44,2,14.0,CyberDucks,CyberDucks,381.0,2025-01-01
45,2,15.0,Diablitos FC,Diablitos FC,34.0,2025-01-01
46,2,16.0,FC Pontos,FC Pontos,459.0,2025-01-01
47,2,17.0,Diaolo Porco,Diaolo Porco,392.0,2025-01-01
48,2,18.0,Metodo Monchi FC,Metodo Monchi FC,329.0,2025-01-01
50,2,20.0,ZeroDayz FC,ZeroDayz FC,378.0,2025-01-01
51,3,21.0,AC Ciaccati,AC Ciaccati,425.0,2025-01-01
52,3,22.0,FC Sovescio,FC Sovescio,453.0,2025-01-01
53,3,23.0,Sborada,Sborada,125.0,2025-01-01
54,3,24.0,CyberDucks,CyberDucks,341.0,2025-01-01
55,3,25.0,Diablitos FC,Diablitos FC,282.0,2025-01-01
56,3,26.0,FC Pontos,FC Pontos,181.0,2025-01-01
57,3,27.0,Diaolo Porco,Diaolo Porco,339.0,2025-01-01
58,3,28.0,Metodo Monchi FC,Metodo Monchi FC,128.0,2025-01-01
60,3,30.0,ZeroDayz FC,ZeroDayz FC,531.0,2025-01-01
91,1,,AC Ciaccati,AC Ciaccati,,2027-01-01
93,1,,CyberDucks,CyberDucks,,2027-01-01
94,1,,Diablitos FC,Diablitos FC,,2027-01-01
95,1,,Diaolo Porco,Diaolo Porco,,2027-01-01
96,1,,FC Pontos,FC Pontos,,2027-01-01
97,1,,FC Sovescio,FC Sovescio,,2027-01-01
98,1,,Metodo Monchi FC,Metodo Monchi FC,,2027-01-01
99,1,,Sborada,Sborada,,2027-01-01
100,1,,ZeroDayz FC,ZeroDayz FC,,2027-01-01
101,2,,AC Ciaccati,AC Ciaccati,,2027-01-01
103,2,,CyberDucks,CyberDucks,,2027-01-01
104,2,,Diablitos FC,Diablitos FC,,2027-01-01
105,2,,Diaolo Porco,Diaolo Porco,,2027-01-01
106,2,,FC Pontos,FC Pontos,,2027-01-01
107,2,,FC Sovescio,FC Sovescio,,2027-01-01
108,2,,Metodo Monchi FC,Metodo Monchi FC,,2027-01-01
109,2,,Sborada,Sborada,,2027-01-01
110,2,,ZeroDayz FC,ZeroDayz FC,,2027-01-01
111,3,,AC Ciaccati,AC Ciaccati,,2027-01-01
63,1,1.0,CyberDucks,CyberDucks,,2026-01-01
73,2,11.0,CyberDucks,CyberDucks,,2026-01-01
83,3,21.0,CyberDucks,CyberDucks,,2026-01-01
70,1,3.0,ZeroDayz FC,ZeroDayz FC,,2026-01-01
80,2,13.0,ZeroDayz FC,ZeroDayz FC,,2026-01-01
90,3,23.0,ZeroDayz FC,ZeroDayz FC,,2026-01-01
66,1,4.0,FC Pontos,FC Pontos,,2026-01-01
69,1,5.0,Sborada,Sborada,,2026-01-01
76,2,14.0,FC Pontos,FC Pontos,,2026-01-01
79,2,15.0,Sborada,Sborada,,2026-01-01
86,3,24.0,FC Pontos,FC Pontos,,2026-01-01
89,3,25.0,Sborada,Sborada,,2026-01-01
61,1,6.0,AC Ciaccati,AC Ciaccati,,2026-01-01
71,2,16.0,AC Ciaccati,AC Ciaccati,,2026-01-01
81,3,26.0,AC Ciaccati,AC Ciaccati,,2026-01-01
64,1,8.0,Diablitos FC,Diablitos FC,,2026-01-01
74,2,18.0,Diablitos FC,Diablitos FC,,2026-01-01
84,3,28.0,Diablitos FC,Diablitos FC,,2026-01-01
65,1,7.0,Diaolo Porco,Diaolo Porco,,2026-01-01
75,2,17.0,Diaolo Porco,Diaolo Porco,,2026-01-01
85,3,27.0,Diaolo Porco,Diaolo Porco,,2026-01-01
67,1,9.0,FC Sovescio,FC Sovescio,,2026-01-01
77,2,19.0,FC Sovescio,FC Sovescio,,2026-01-01
87,3,29.0,FC Sovescio,FC Sovescio,,2026-01-01
113,3,,CyberDucks,CyberDucks,,2027-01-01
114,3,,Diablitos FC,Diablitos FC,,2027-01-01
115,3,,Diaolo Porco,Diaolo Porco,,2027-01-01
116,3,,FC Pontos,FC Pontos,,2027-01-01
117,3,,FC Sovescio,FC Sovescio,,2027-01-01
118,3,,Metodo Monchi FC,Metodo Monchi FC,,2027-01-01
119,3,,Sborada,Sborada,,2027-01-01
120,3,,ZeroDayz FC,ZeroDayz FC,,2027-01-01
121,1,,AC Ciaccati,AC Ciaccati,,2028-01-01
123,1,,CyberDucks,CyberDucks,,2028-01-01
124,1,,Diablitos FC,Diablitos FC,,2028-01-01
125,1,,Diaolo Porco,Diaolo Porco,,2028-01-01
126,1,,FC Pontos,FC Pontos,,2028-01-01
127,1,,FC Sovescio,FC Sovescio,,2028-01-01
128,1,,Metodo Monchi FC,Metodo Monchi FC,,2028-01-01
129,1,,Sborada,Sborada,,2028-01-01
130,1,,ZeroDayz FC,ZeroDayz FC,,2028-01-01
131,2,,AC Ciaccati,AC Ciaccati,,2028-01-01
133,2,,CyberDucks,CyberDucks,,2028-01-01
134,2,,Diablitos FC,Diablitos FC,,2028-01-01
135,2,,Diaolo Porco,Diaolo Porco,,2028-01-01
136,2,,FC Pontos,FC Pontos,,2028-01-01
137,2,,FC Sovescio,FC Sovescio,,2028-01-01
138,2,,Metodo Monchi FC,Metodo Monchi FC,,2028-01-01
139,2,,Sborada,Sborada,,2028-01-01
140,2,,ZeroDayz FC,ZeroDayz FC,,2028-01-01
141,3,,AC Ciaccati,AC Ciaccati,,2028-01-01
143,3,,CyberDucks,CyberDucks,,2028-01-01
144,3,,Diablitos FC,Diablitos FC,,2028-01-01
145,3,,Diaolo Porco,Diaolo Porco,,2028-01-01
146,3,,FC Pontos,FC Pontos,,2028-01-01
147,3,,FC Sovescio,FC Sovescio,,2028-01-01
148,3,,Metodo Monchi FC,Metodo Monchi FC,,2028-01-01
149,3,,Sborada,Sborada,,2028-01-01
150,3,,ZeroDayz FC,ZeroDayz FC,,2028-01-01
151,1,,AC Ciaccati,AC Ciaccati,,2029-01-01
153,1,,CyberDucks,CyberDucks,,2029-01-01
154,1,,Diablitos FC,Diablitos FC,,2029-01-01
155,1,,Diaolo Porco,Diaolo Porco,,2029-01-01
156,1,,FC Pontos,FC Pontos,,2029-01-01
157,1,,FC Sovescio,FC Sovescio,,2029-01-01
158,1,,Metodo Monchi FC,Metodo Monchi FC,,2029-01-01
159,1,,Sborada,Sborada,,2029-01-01
160,1,,ZeroDayz FC,ZeroDayz FC,,2029-01-01
161,2,,AC Ciaccati,AC Ciaccati,,2029-01-01
163,2,,CyberDucks,CyberDucks,,2029-01-01
164,2,,Diablitos FC,Diablitos FC,,2029-01-01
165,2,,Diaolo Porco,Diaolo Porco,,2029-01-01
166,2,,FC Pontos,FC Pontos,,2029-01-01
167,2,,FC Sovescio,FC Sovescio,,2029-01-01
168,2,,Metodo Monchi FC,Metodo Monchi FC,,2029-01-01
169,2,,Sborada,Sborada,,2029-01-01
170,2,,ZeroDayz FC,ZeroDayz FC,,2029-01-01
171,3,,AC Ciaccati,AC Ciaccati,,2029-01-01
173,3,,CyberDucks,CyberDucks,,2029-01-01
174,3,,Diablitos FC,Diablitos FC,,2029-01-01
175,3,,Diaolo Porco,Diaolo Porco,,2029-01-01
176,3,,FC Pontos,FC Pontos,,2029-01-01
177,3,,FC Sovescio,FC Sovescio,,2029-01-01
178,3,,Metodo Monchi FC,Metodo Monchi FC,,2029-01-01
179,3,,Sborada,Sborada,,2029-01-01
180,3,,ZeroDayz FC,ZeroDayz FC,,2029-01-01
181,1,,AC Ciaccati,AC Ciaccati,,2030-01-01
183,1,,CyberDucks,CyberDucks,,2030-01-01
184,1,,Diablitos FC,Diablitos FC,,2030-01-01
185,1,,Diaolo Porco,Diaolo Porco,,2030-01-01
186,1,,FC Pontos,FC Pontos,,2030-01-01
187,1,,FC Sovescio,FC Sovescio,,2030-01-01
188,1,,Metodo Monchi FC,Metodo Monchi FC,,2030-01-01
189,1,,Sborada,Sborada,,2030-01-01
190,1,,ZeroDayz FC,ZeroDayz FC,,2030-01-01
191,2,,AC Ciaccati,AC Ciaccati,,2030-01-01
193,2,,CyberDucks,CyberDucks,,2030-01-01
194,2,,Diablitos FC,Diablitos FC,,2030-01-01
195,2,,Diaolo Porco,Diaolo Porco,,2030-01-01
196,2,,FC Pontos,FC Pontos,,2030-01-01
197,2,,FC Sovescio,FC Sovescio,,2030-01-01
198,2,,Metodo Monchi FC,Metodo Monchi FC,,2030-01-01
199,2,,Sborada,Sborada,,2030-01-01
200,2,,ZeroDayz FC,ZeroDayz FC,,2030-01-01
201,3,,AC Ciaccati,AC Ciaccati,,2030-01-01
203,3,,CyberDucks,CyberDucks,,2030-01-01
204,3,,Diablitos FC,Diablitos FC,,2030-01-01
205,3,,Diaolo Porco,Diaolo Porco,,2030-01-01
206,3,,FC Pontos,FC Pontos,,2030-01-01
207,3,,FC Sovescio,FC Sovescio,,2030-01-01
208,3,,Metodo Monchi FC,Metodo Monchi FC,,2030-01-01
209,3,,Sborada,Sborada,,2030-01-01
210,3,,ZeroDayz FC,ZeroDayz FC,,2030-01-01
211,1,,AC Ciaccati,AC Ciaccati,,2031-01-01
213,1,,CyberDucks,CyberDucks,,2031-01-01
214,1,,Diablitos FC,Diablitos FC,,2031-01-01
215,1,,Diaolo Porco,Diaolo Porco,,2031-01-01
216,1,,FC Pontos,FC Pontos,,2031-01-01
217,1,,FC Sovescio,FC Sovescio,,2031-01-01
218,1,,Metodo Monchi FC,Metodo Monchi FC,,2031-01-01
219,1,,Sborada,Sborada,,2031-01-01
220,1,,ZeroDayz FC,ZeroDayz FC,,2031-01-01
221,2,,AC Ciaccati,AC Ciaccati,,2031-01-01
223,2,,CyberDucks,CyberDucks,,2031-01-01
224,2,,Diablitos FC,Diablitos FC,,2031-01-01
225,2,,Diaolo Porco,Diaolo Porco,,2031-01-01
226,2,,FC Pontos,FC Pontos,,2031-01-01
227,2,,FC Sovescio,FC Sovescio,,2031-01-01
