id,id_transfermarkt,club_tm,nome,cognome,data_nascita,scadenza_contratto,id_giocatore,aggiornato_il
591,244192.0,Associazione Sportiva Roma,Pierluigi,Gollini,1995-03-18,2027-06-30,,2026-09-02 22:15:53.956921+00:00
592,495722.0,Associazione Sportiva Roma,Devis,Vásquez,1998-05-12,2027-06-30,,2026-09-02 22:15:53.956921+00:00
593,338670.0,Associazione Sportiva Roma,Mile,Svilar,1999-08-27,2030-06-30,,2026-09-02 22:15:53.956921+00:00
594,281769.0,Associazione Sportiva Roma,Mario,Hermoso,1995-06-18,2027-06-30,,2026-09-02 22:15:53.956921+00:00
595,942004.0,Associazione Sportiva Roma,Giorgio,De Marzi,2007-04-18,2027-06-30,,2026-09-02 22:15:53.956921+00:00
596,575998.0,Associazione Sportiva Roma,Leonardo,Balerdi,1999-01-26,2027-06-30,,2026-09-02 22:15:53.956921+00:00
597,701819.0,Associazione Sportiva Roma,Daniele,Ghilardi,2003-01-06,2030-06-30,,2026-09-02 22:15:53.956921+00:00
598,669380.0,Associazione Sportiva Roma,Konstantinos,Koulierakis,2003-11-28,2031-06-30,,2026-09-02 22:15:53.956921+00:00
599,371149.0,Associazione Sportiva Roma,Evan,Ndicka,1999-08-20,2028-06-30,,2026-09-02 22:15:53.956921+00:00
600,256448.0,Associazione Sportiva Roma,Gianluca,Mancini,1996-04-17,2029-06-30,,2026-09-02 22:15:53.956921+00:00
601,424042.0,Associazione Sportiva Roma,Nahuel,Molina,1998-04-06,2030-06-30,,2026-09-02 22:15:53.956921+00:00
602,964580.0,Associazione Sportiva Roma,,Wesley,2003-09-06,2030-06-30,,2026-09-02 22:15:53.956921+00:00
603,557407.0,Associazione Sportiva Roma,Devyne,Rensch,2003-01-18,2029-06-30,,2026-09-02 22:15:53.956921+00:00
604,485584.0,Associazione Sportiva Roma,Anass,Salah-Eddine,2002-01-18,2028-06-30,,2026-09-02 22:15:53.956921+00:00
605,1175298.0,Associazione Sportiva Roma,Emanuele,Lulli,2007-08-17,2027-06-30,,2026-09-02 22:15:53.956921+00:00
606,133179.0,Associazione Sportiva Roma,Marten,de Roon,1991-03-29,2028-06-30,,2026-09-02 22:15:53.956921+00:00
607,199248.0,Associazione Sportiva Roma,Bryan,Cristante,1995-03-03,2028-06-30,,2026-09-02 22:15:53.956921+00:00
608,624690.0,Associazione Sportiva Roma,Manu,Koné,2001-05-17,2029-06-30,,2026-09-02 22:15:53.956921+00:00
609,813137.0,Associazione Sportiva Roma,Niccolò,Pisilli,2004-09-23,2029-06-30,,2026-09-02 22:15:53.956921+00:00
610,957653.0,Associazione Sportiva Roma,Rodrigo,Mora,2007-05-05,2031-06-30,,2026-09-02 22:15:53.956921+00:00
611,326029.0,Associazione Sportiva Roma,Donyell,Malen,1999-01-19,2030-06-30,,2026-09-02 22:15:53.956921+00:00
612,849520.0,Associazione Sportiva Roma,Santiago,Castro,2004-09-18,2031-06-30,,2026-09-02 22:15:53.956921+00:00
613,286297.0,Associazione Sportiva Roma,Lorenzo,Pellegrini,1996-06-19,2027-06-30,,2026-09-02 22:15:53.956921+00:00
614,206050.0,Associazione Sportiva Roma,Paulo,Dybala,1993-11-15,2027-06-30,,2026-09-02 22:15:53.956921+00:00
615,668951.0,Associazione Sportiva Roma,Matías,Soulé,2003-04-15,2029-06-30,,2026-09-02 22:15:53.956921+00:00
616,386446.0,Società Sportiva Calcio Napoli,Alessandro,Buongiorno,1999-06-06,2029-06-30,,2026-09-02 22:15:53.956921+00:00
617,257474.0,Società Sportiva Calcio Napoli,Vanja,Milinković-Savić,1997-02-20,2030-06-30,,2026-09-02 22:15:53.956921+00:00
618,240414.0,Società Sportiva Calcio Napoli,Alex,Meret,1997-03-22,2027-06-30,,2026-09-02 22:15:53.956921+00:00
619,250683.0,Società Sportiva Calcio Napoli,Nikita,Contini,1996-05-21,2031-06-30,,2026-09-02 22:15:53.956921+00:00
620,433984.0,Società Sportiva Calcio Napoli,Sam,Beukema,1998-11-17,2030-06-30,,2026-09-02 22:15:53.956921+00:00
621,463603.0,Società Sportiva Calcio Napoli,Benoît,Badiashile,2001-03-26,2027-06-30,,2026-09-02 22:15:53.956921+00:00
622,423744.0,Società Sportiva Calcio Napoli,Billy,Gilmour,2001-06-11,2029-06-30,,2026-09-02 22:15:53.956921+00:00
623,315969.0,Società Sportiva Calcio Napoli,Scott,McTominay,1996-12-08,2028-06-30,,2026-09-02 22:15:53.956921+00:00
624,257732.0,Società Sportiva Calcio Napoli,Amir,Rrahmani,1994-02-24,2027-06-30,,2026-09-02 22:15:53.956921+00:00
625,662261.0,Società Sportiva Calcio Napoli,Rafa,Marín,2002-05-19,2029-06-30,,2026-09-02 22:15:53.956921+00:00
626,169880.0,Società Sportiva Calcio Napoli,Giovanni,Di Lorenzo,1993-08-04,2030-06-30,,2026-09-02 22:15:53.956921+00:00
627,814446.0,Società Sportiva Calcio Napoli,Luca,Marianucci,2004-07-23,2030-06-30,,2026-09-02 22:15:53.956921+00:00
628,192735.0,Società Sportiva Calcio Napoli,Stanislav,Lobotka,1994-11-25,2027-06-30,,2026-09-02 22:15:53.956921+00:00
629,376514.0,Società Sportiva Calcio Napoli,Mathías,Olivera,1997-10-31,2030-06-30,,2026-09-02 22:15:53.956921+00:00
630,118689.0,Società Sportiva Calcio Napoli,Leonardo,Spinazzola,1993-03-25,2028-06-30,,2026-09-02 22:15:53.956921+00:00
631,354361.0,Società Sportiva Calcio Napoli,Frank,Anguissa,1995-11-16,2027-06-30,,2026-09-02 22:15:53.956921+00:00
632,830365.0,Società Sportiva Calcio Napoli,Alisson,Santos,2002-09-27,2030-06-30,,2026-09-02 22:15:53.956921+00:00
633,820635.0,Società Sportiva Calcio Napoli,Costantino,Favasuli,2004-04-26,2027-06-30,,2026-09-02 22:15:53.956921+00:00
634,703245.0,Società Sportiva Calcio Napoli,Antonio,Vergara,2003-01-16,2031-06-30,,2026-09-02 22:15:53.956921+00:00
635,88755.0,Società Sportiva Calcio Napoli,Kevin,De Bruyne,1991-06-28,2027-06-30,,2026-09-02 22:15:53.956921+00:00
636,469822.0,Società Sportiva Calcio Napoli,David,Neres,1997-03-03,2028-06-30,,2026-09-02 22:15:53.956921+00:00
637,339332.0,Società Sportiva Calcio Napoli,Noa,Lang,1999-06-17,2030-06-30,,2026-09-02 22:15:53.956921+00:00
638,165895.0,Società Sportiva Calcio Napoli,Matteo,Politano,1993-08-03,2028-06-30,,2026-09-02 22:15:53.956921+00:00
639,572265.0,Società Sportiva Calcio Napoli,Lorenzo,Lucca,2000-09-10,2030-06-30,,2026-09-02 22:15:53.956921+00:00
640,610442.0,Società Sportiva Calcio Napoli,Rasmus,Højlund,2003-02-04,2030-06-30,,2026-09-02 22:15:53.956921+00:00
641,1005165.0,Società Sportiva Calcio Napoli,,Giovane,2003-11-24,2030-06-30,,2026-09-02 22:15:53.956921+00:00
642,741539.0,Società Sportiva Calcio Napoli,Dinis,Rodrigues,2005-07-14,,,2026-09-02 22:15:53.956921+00:00
643,197747.0,Società Sportiva Lazio S.p.A.,Alessio,Romagnoli,1995-01-12,2027-06-30,,2026-09-02 22:15:53.956921+00:00
644,481675.0,Società Sportiva Lazio S.p.A.,Christos,Mandas,2001-09-17,2029-06-30,,2026-09-02 22:15:53.956921+00:00
645,371001.0,Società Sportiva Lazio S.p.A.,Josip,Sutalo,2000-02-28,2027-06-30,,2026-09-02 22:15:53.956921+00:00
646,387047.0,Società Sportiva Lazio S.p.A.,Danilho,Doekhi,1998-06-30,2029-06-30,,2026-09-02 22:15:53.956921+00:00
647,916430.0,Società Sportiva Lazio S.p.A.,Edoardo,Motta,2005-01-13,2030-06-30,,2026-09-02 22:15:53.956921+00:00
648,918957.0,Società Sportiva Lazio S.p.A.,Davide,Renzetti,2006-06-09,2027-06-30,,2026-09-02 22:15:53.956921+00:00
649,126729.0,Società Sportiva Lazio S.p.A.,,Patric,1993-04-17,2027-06-30,,2026-09-02 22:15:53.956921+00:00
650,538079.0,Società Sportiva Lazio S.p.A.,Alessio,Furlanetto,2002-02-07,2028-06-30,,2026-09-02 22:15:53.956921+00:00
651,644408.0,Società Sportiva Lazio S.p.A.,Oliver,Provstgaard,2003-06-04,2029-06-30,,2026-09-02 22:15:53.956921+00:00
652,535955.0,Società Sportiva Lazio S.p.A.,Nuno,Tavares,2000-01-26,2029-06-30,,2026-09-02 22:15:53.956921+00:00
653,199733.0,Società Sportiva Lazio S.p.A.,Danilo,Cataldi,1994-08-06,2027-06-30,,2026-09-02 22:15:53.956921+00:00
654,287700.0,Società Sportiva Lazio S.p.A.,Mohamed,Fares,1996-02-15,2027-06-30,,2026-09-02 22:15:53.956921+00:00
655,346567.0,Società Sportiva Lazio S.p.A.,Luca,Pellegrini,1999-03-07,2027-06-30,,2026-09-02 22:15:53.956921+00:00
656,331401.0,Società Sportiva Lazio S.p.A.,Manuel,Lazzari,1993-11-29,2027-06-30,,2026-09-02 22:15:53.956921+00:00
657,982855.0,Società Sportiva Lazio S.p.A.,Reda,Belahyane,2004-06-01,2029-06-30,,2026-09-02 22:15:53.956921+00:00
658,708086.0,Società Sportiva Lazio S.p.A.,Romano,Floriani Mussolini,2003-01-27,2028-06-30,,2026-09-02 22:15:53.956921+00:00
659,1110645.0,Società Sportiva Lazio S.p.A.,Filipe,Bordon,2005-06-24,2028-06-30,,2026-09-02 22:15:53.956921+00:00
660,239802.0,Società Sportiva Lazio S.p.A.,Adam,Marusic,1992-10-17,2028-06-30,,2026-09-02 22:15:53.956921+00:00
661,525704.0,Società Sportiva Lazio S.p.A.,Nicolò,Rovella,2001-12-04,2028-06-30,,2026-09-02 22:15:53.956921+00:00
662,356197.0,Società Sportiva Lazio S.p.A.,Alfonso,Pedraza,1996-04-09,2029-06-30,,2026-09-02 22:15:53.956921+00:00
663,470394.0,Società Sportiva Lazio S.p.A.,Kenneth,Taylor,2002-05-16,2030-06-30,,2026-09-02 22:15:53.956921+00:00
664,1455976.0,Società Sportiva Lazio S.p.A.,Bruno,Galassi,2007-02-07,2029-06-30,,2026-09-02 22:15:53.956921+00:00
665,394300.0,Società Sportiva Lazio S.p.A.,Davide,Frattesi,1999-09-22,2027-06-30,,2026-09-02 22:15:53.956921+00:00
666,457736.0,Società Sportiva Lazio S.p.A.,Tijjani,Noslin,1999-07-07,2029-06-30,,2026-09-02 22:15:53.956921+00:00
667,1018395.0,Società Sportiva Lazio S.p.A.,Adrian,Przyborek,2007-01-01,2030-06-30,,2026-09-02 22:15:53.956921+00:00
668,283735.0,Società Sportiva Lazio S.p.A.,Mattia,Zaccagni,1995-06-16,2029-06-30,,2026-09-02 22:15:53.956921+00:00
669,530742.0,Società Sportiva Lazio S.p.A.,Fisayo,Dele-Bashiru,2001-02-06,2028-06-30,,2026-09-02 22:15:53.956921+00:00
670,305947.0,Società Sportiva Lazio S.p.A.,Albert,Gudmundsson,1997-06-15,2027-06-30,,2026-09-02 22:15:53.956921+00:00
671,462823.0,Società Sportiva Lazio S.p.A.,Gustav,Isaksen,2001-04-19,2028-06-30,,2026-09-02 22:15:53.956921+00:00
672,550106.0,Società Sportiva Lazio S.p.A.,Matteo,Cancellieri,2002-02-12,2027-06-30,,2026-09-02 22:15:53.956921+00:00
673,866255.0,Società Sportiva Lazio S.p.A.,Valerio,Farcomeni,2006-01-18,2030-06-30,,2026-09-02 22:15:53.956921+00:00
674,315865.0,Società Sportiva Lazio S.p.A.,Andrea,Pinamonti,1999-05-19,2031-06-30,,2026-09-02 22:15:53.956921+00:00
675,976207.0,Società Sportiva Lazio S.p.A.,Federico,Serra,2006-01-03,,,2026-09-02 22:15:53.956921+00:00
676,471936.0,Associazione Calcio Fiorentina,Oliver,Christensen,1999-03-22,2028-06-30,,2026-09-02 22:15:53.956921+00:00
677,59377.0,Associazione Calcio Fiorentina,David,de Gea,1990-11-07,2028-06-30,,2026-09-02 22:15:53.956921+00:00
678,568559.0,Associazione Calcio Fiorentina,Radu,Drăgușin,2002-02-03,2027-06-30,,2026-09-02 22:15:53.956921+00:00
