club,nome_transfermarkt
Atalanta,Atalanta Bergamasca Calcio S.p.a.
Bologna,Bologna Football Club 1909
Cagliari,Cagliari Calcio
Como,Calcio Como
Fiorentina,Associazione Calcio Fiorentina
Frosinone,Frosinone Calcio S.r.l.
Genoa,Genoa Cricket and Football Club
Inter,Football Club Internazionale Milano S.p.A.
Juventus,Juventus Football Club
Lazio,Società Sportiva Lazio S.p.A.
Lecce,Unione Sportiva Lecce
Milan,Associazione Calcio Milan
Monza,Associazione Calcio Monza
Napoli,Società Sportiva Calcio Napoli
Parma,Parma Calcio 1913
Roma,Associazione Sportiva Roma
Sassuolo,Unione Sportiva Sassuolo Calcio
Torino,Torino Calcio
Udinese,Udinese Calcio
Venezia,Venezia Football Club
