id,nome,squadra_att,detentore_cartellino,club,quot_att_mantra,tipo_contratto,ruolo,costo,priorita,id_transfermarkt,data_nascita,scadenza_contratto
1022,Tchato,Svincolato,Svincolato,Frosinone,3,Svincolato,"{Dd,E}",0,1,842338.0,2002-11-23,2030-06-30
1059,Rodriguez R.,Svincolato,Svincolato,Torino,6,Svincolato,"{B,Ds,E}",0,1,,,
934,Oyono J.,Svincolato,Svincolato,Frosinone,1,Svincolato,"{Dd,E}",0,0,,,
1058,Enem,Svincolato,Svincolato,Bologna,2,Svincolato,{Pc},0,1,,,
1012,Laerke,Svincolato,Svincolato,Lecce,1,Svincolato,"{W,A}",0,1,,,
933,Corrado,Svincolato,Svincolato,Frosinone,1,Svincolato,"{Ds,E}",0,0,,,
922,Delli Carri,Svincolato,Svincolato,Monza,4,Svincolato,{Dc},0,0,,,
1030,Macchioni,Svincolato,Svincolato,Sassuolo,1,Svincolato,{Dc},0,0,,,
663,Smalling,Svincolato,Svincolato,Roma,0,Svincolato,{Dc},0,0,,,
935,Gelli J.,Svincolato,Svincolato,Frosinone,1,Svincolato,{Dc},0,0,,,
1029,Bobcek,Svincolato,Svincolato,Frosinone,9,Svincolato,{Pc},0,1,510103.0,2001-09-08,2031-06-30
1019,Osmajic,Svincolato,Svincolato,Genoa,7,Svincolato,{Pc},0,1,542819.0,1999-07-25,2029-06-30
1024,Mout,Svincolato,Svincolato,Monza,1,Svincolato,{C},0,1,1167990.0,2007-08-06,
260,Zambo Anguissa,FC Pontos,FC Pontos,Napoli,10,Indeterminato,{C},27,1,354361.0,1995-11-16,2027-06-30
925,Gomes,Svincolato,Svincolato,Venezia,1,Svincolato,"{Ds,Dc}",0,1,1371198.0,2008-02-14,2031-06-30
1020,Lulli,Svincolato,Svincolato,Roma,2,Svincolato,{E},0,1,1175298.0,2007-08-17,2027-06-30
936,Amey,Svincolato,Svincolato,Frosinone,1,Svincolato,{Dc},0,1,818878.0,2005-08-11,2027-06-30
931,Antov,Svincolato,Svincolato,Monza,1,Svincolato,{Dc},0,1,227347.0,2000-11-09,2027-06-30
928,Diawara S.,Svincolato,Svincolato,Milan,2,Svincolato,"{Ds,Dc}",0,1,1179195.0,2006-01-13,2031-06-30
913,Halhal,Svincolato,Svincolato,Venezia,3,Svincolato,{Dc},0,1,913660.0,2003-03-05,2030-06-30
929,Franjic,Svincolato,Svincolato,Venezia,3,Svincolato,"{B,Ds,E}",0,1,370998.0,2000-01-14,
337,Vitik,ZeroDayz FC,ZeroDayz FC,Bologna,4,Indeterminato,{Dc},24,1,652054.0,2003-01-21,2029-06-30
923,Mitaj,Sborada,Sborada,Genoa,4,Indeterminato,"{Ds,E}",1,1,726114.0,2003-08-06,2027-06-30
921,Pedraza,Svincolato,Svincolato,Lazio,6,Svincolato,"{Ds,E}",0,1,356197.0,1996-04-09,2029-06-30
1036,Balerdi,Sborada,Sborada,Roma,6,Indeterminato,{Dc},1,1,575998.0,1999-01-26,2027-06-30
1017,Sutalo J.,Svincolato,Svincolato,Lazio,7,Svincolato,{Dc},0,1,371001.0,2000-02-28,2027-06-30
1037,Theate,Svincolato,Svincolato,Bologna,9,Svincolato,"{Ds,Dc}",0,1,368891.0,2000-05-25,2027-06-30
993,Chalobah T.,Diaolo Porco,Diaolo Porco,Como,11,Indeterminato,"{Dd,Dc}",33,1,346314.0,1999-07-05,2031-06-30
1002,Spence,FC Pontos,FC Pontos,Inter,10,Indeterminato,{E},63,1,483348.0,2000-08-09,2031-06-30
1057,Pompei,Svincolato,Svincolato,Atalanta,1,Svincolato,{Por},0,1,962246.0,2006-07-04,
759,Russo A.,Svincolato,Svincolato,Sassuolo,1,Svincolato,{Por},0,1,,,
417,Circati,Svincolato,Svincolato,Parma,6,Svincolato,{Dc},0,0,,,
1028,Birligea,Svincolato,Svincolato,Frosinone,5,Svincolato,{Pc},0,1,468192.0,2000-04-19,2027-06-30
1032,Ciervo,Svincolato,Svincolato,Cagliari,1,Svincolato,{W},0,1,628558.0,2002-04-01,2027-06-30
1025,Foe Ondoa,Svincolato,Svincolato,Monza,2,Svincolato,{C},0,1,1143375.0,2005-12-12,2030-06-30
1042,Jovanovic,Svincolato,Svincolato,Udinese,2,Svincolato,"{W,T}",0,1,897505.0,2006-11-30,2031-06-30
996,Grillitsch,Svincolato,Svincolato,Frosinone,4,Svincolato,"{M,C}",0,1,195736.0,1995-08-07,2027-06-30
1056,Braganca,Svincolato,Svincolato,Torino,6,Svincolato,{C},0,1,461943.0,1999-05-27,2027-06-30
989,Sow,Svincolato,Svincolato,Genoa,8,Svincolato,"{M,C}",0,1,212723.0,1997-02-06,2030-06-30
1039,Monteiro J.,Svincolato,Svincolato,Lecce,6,Svincolato,"{W,A}",0,1,410787.0,1999-08-05,2029-06-30
997,Schmid,Svincolato,Svincolato,Frosinone,8,Svincolato,"{W,T}",0,1,346853.0,2000-01-27,2030-06-30
