id,id_fantacalcio,nome,squadra_fc,id_giocatore,aggiornato_il
4181,5585,Malen,ROM,,2026-09-22 22:14:31.097902+00:00
4182,2764,Martinez L.,INT,,2026-09-22 22:14:31.097902+00:00
4183,4871,Thuram,INT,,2026-09-22 22:14:31.097902+00:00
4184,6875,Paz N.,COM,,2026-09-22 22:14:31.097902+00:00
4185,254,Dimarco,INT,,2026-09-22 22:14:31.097902+00:00
4186,2194,Calhanoglu,INT,,2026-09-22 22:14:31.097902+00:00
4187,6052,Hojlund,NAP,,2026-09-22 22:14:31.097902+00:00
4188,2423,Pulisic,MIL,,2026-09-22 22:14:31.097902+00:00
4189,6397,Ramos G.,MIL,,2026-09-22 22:14:31.097902+00:00
4190,2379,Rabiot,MIL,,2026-09-22 22:14:31.097902+00:00
4191,4777,McTominay,NAP,,2026-09-22 22:14:31.097902+00:00
4192,2167,Orsolini,BOL,,2026-09-22 22:14:31.097902+00:00
4193,2097,Kean,COM,,2026-09-22 22:14:31.097902+00:00
4194,5951,Kolo Muani,JUV,,2026-09-22 22:14:31.097902+00:00
4195,7017,Douvikas,COM,,2026-09-22 22:14:31.097902+00:00
4196,6752,Woltemade,JUV,,2026-09-22 22:14:31.097902+00:00
4197,7126,Baturina,COM,,2026-09-22 22:14:31.097902+00:00
4198,6434,Yildiz,JUV,,2026-09-22 22:14:31.097902+00:00
4199,7556,Mora,ROM,,2026-09-22 22:14:31.097902+00:00
4200,2137,Scamacca,ATA,,2026-09-22 22:14:31.097902+00:00
4201,5841,Svilar,ROM,,2026-09-22 22:14:31.097902+00:00
4202,5637,Davis K.,UDI,,2026-09-22 22:14:31.097902+00:00
4203,1870,Barella,INT,,2026-09-22 22:14:31.097902+00:00
4204,7071,Esposito F.P.,INT,,2026-09-22 22:14:31.097902+00:00
4205,632,Zaccagni,LAZ,,2026-09-22 22:14:31.097902+00:00
4206,4510,Leao,MIL,,2026-09-22 22:14:31.097902+00:00
4207,7181,Wesley,ROM,,2026-09-22 22:14:31.097902+00:00
4208,531,Berardi,SAS,,2026-09-22 22:14:31.097902+00:00
4209,5559,Da Cunha,COM,,2026-09-22 22:14:31.097902+00:00
4210,2788,Bremer,JUV,,2026-09-22 22:14:31.097902+00:00
4211,2517,De Bruyne,NAP,,2026-09-22 22:14:31.097902+00:00
4212,309,Dybala,ROM,,2026-09-22 22:14:31.097902+00:00
4213,4998,Molina N.,ROM,,2026-09-22 22:14:31.097902+00:00
4214,4431,Carnesecchi,ATA,,2026-09-22 22:14:31.097902+00:00
4215,6435,Krstovic,ATA,,2026-09-22 22:14:31.097902+00:00
4216,7023,Pellegrino M.,FIO,,2026-09-22 22:14:31.097902+00:00
4217,5734,Soulè,ROM,,2026-09-22 22:14:31.097902+00:00
4218,6060,Laurientè,SAS,,2026-09-22 22:14:31.097902+00:00
4219,2766,Zaniolo,UDI,,2026-09-22 22:14:31.097902+00:00
4220,4964,Vicario,JUV,,2026-09-22 22:14:31.097902+00:00
4221,5995,De Ketelaere,ATA,,2026-09-22 22:14:31.097902+00:00
4222,6675,Dovbyk,BOL,,2026-09-22 22:14:31.097902+00:00
4223,4973,McKennie,JUV,,2026-09-22 22:14:31.097902+00:00
4224,4312,Maignan,MIL,,2026-09-22 22:14:31.097902+00:00
4225,4409,Rrahmani,NAP,,2026-09-22 22:14:31.097902+00:00
4226,2296,Mancini,ROM,,2026-09-22 22:14:31.097902+00:00
4227,6372,Moreira,MIL,,2026-09-22 22:14:31.097902+00:00
4228,5119,Samardzic,ATA,,2026-09-22 22:14:31.097902+00:00
4229,4371,Raspadori,ATA,,2026-09-22 22:14:31.097902+00:00
4230,4463,Esposito Se.,SAS,,2026-09-22 22:14:31.097902+00:00
4231,6967,Diao,COM,,2026-09-22 22:14:31.097902+00:00
4232,6908,Atta,FIO,,2026-09-22 22:14:31.097902+00:00
4233,5116,Martinez Jo.,INT,,2026-09-22 22:14:31.097902+00:00
4234,4159,Akanji,INT,,2026-09-22 22:14:31.097902+00:00
4235,6884,Conceicao,JUV,,2026-09-22 22:14:31.097902+00:00
4236,5589,Konè M.,ROM,,2026-09-22 22:14:31.097902+00:00
4237,6684,Ekkelenkamp,UDI,,2026-09-22 22:14:31.097902+00:00
4238,7078,Mastantuono,FIO,,2026-09-22 22:14:31.097902+00:00
4239,5792,Ederson D.S.,ATA,,2026-09-22 22:14:31.097902+00:00
4240,4360,Caprile,CAG,,2026-09-22 22:14:31.097902+00:00
4241,6966,Butez,COM,,2026-09-22 22:14:31.097902+00:00
4242,5800,Gudmundsson A.,LAZ,,2026-09-22 22:14:31.097902+00:00
4243,2120,Bastoni,INT,,2026-09-22 22:14:31.097902+00:00
4244,6217,Bisseck,INT,,2026-09-22 22:14:31.097902+00:00
