first_name,last_name,name,last_season,player_code,country_of_birth,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,image_url,international_caps,international_goals,url,current_club_name,market_value_in_eur,highest_market_value_in_eur
Matteo,Pessina,Matteo Pessina,2024,matteo-pessina,Italy,1997-04-21 00:00:00,Central Midfield,Midfield,left,187.0,2027-06-30 00:00:00,https://img.a.transfermarkt.technology/portrait/header/332179-1661268524.jpg?lm=1,16.0,5.0,https://www.transfermarkt.co.uk/matteo-pessina/profil/spieler/332179,AC Monza,5000000.0,20000000.0
Dany,Mota,Dany Mota,2024,dany-mota,Luxembourg,1998-05-02 00:00:00,Centre-Forward,Attack,right,180.0,2027-06-30 00:00:00,https://img.a.transfermarkt.technology/portrait/header/347253-1652095197.jpg?lm=1,0.0,0.0,https://www.transfermarkt.co.uk/dany-mota/profil/spieler/347253,AC Monza,5000000.0,6000000.0
Gianluca,Caprari,Gianluca Caprari,2024,gianluca-caprari,Italy,1993-07-30 00:00:00,Second Striker,Attack,right,171.0,2026-06-30 00:00:00,https://img.a.transfermarkt.technology/portrait/header/146752-1663659110.jpg?lm=1,1.0,0.0,https://www.transfermarkt.co.uk/gianluca-caprari/profil/spieler/146752,AC Monza,4000000.0,10000000.0
Samuele,Birindelli,Samuele Birindelli,2024,samuele-birindelli,Italy,1999-07-19 00:00:00,Right-Back,Defender,right,176.0,2026-06-30 00:00:00,https://img.a.transfermarkt.technology/portrait/header/461019-1613547152.jpg?lm=1,1.0,0.0,https://www.transfermarkt.co.uk/samuele-birindelli/profil/spieler/461019,AC Monza,2500000.0,3500000.0
Andrea,Carboni,Andrea Carboni,2024,andrea-carboni,Italy,2001-02-04 00:00:00,Centre-Back,Defender,left,187.0,2029-06-30 00:00:00,https://img.a.transfermarkt.technology/portrait/header/481834-1730125183.jpg?lm=1,2.0,0.0,https://www.transfermarkt.co.uk/andrea-carboni/profil/spieler/481834,AC Monza,2500000.0,5000000.0
Giorgio,Cittadini,Giorgio Cittadini,2023,giorgio-cittadini,Italy,2002-04-18 00:00:00,Centre-Back,Defender,right,193.0,2025-06-30 00:00:00,https://img.a.transfermarkt.technology/portrait/header/616628-1664874587.png?lm=1,,,https://www.transfermarkt.co.uk/giorgio-cittadini/profil/spieler/616628,AC Monza,2400000.0,3000000.0
Omari,Forson,Omari Forson,2024,omari-forson,England,2004-07-20 00:00:00,Right Winger,Attack,left,179.0,2028-06-30 00:00:00,https://img.a.transfermarkt.technology/portrait/header/670845-1722327564.jpg?lm=1,2.0,0.0,https://www.transfermarkt.co.uk/omari-forson/profil/spieler/670845,AC Monza,2000000.0,2000000.0
Agustín,Álvarez,Agustín Álvarez,2025,agustin-alvarez,Uruguay,2001-05-19 00:00:00,Centre-Forward,Attack,right,177.0,2026-06-30 00:00:00,https://img.a.transfermarkt.technology/portrait/header/812625-1704205457.jpg?lm=1,6.0,1.0,https://www.transfermarkt.co.uk/agustin-alvarez/profil/spieler/812625,AC Monza,2000000.0,8500000.0
Kevin,Zeroli,Kevin Zeroli,2024,kevin-zeroli,Italy,2005-01-11 00:00:00,Central Midfield,Midfield,right,187.0,2026-06-30 00:00:00,https://img.a.transfermarkt.technology/portrait/header/883349-1696430935.jpg?lm=1,1.0,0.0,https://www.transfermarkt.co.uk/kevin-zeroli/profil/spieler/883349,AC Monza,2000000.0,2000000.0
Armando,Izzo,Armando Izzo,2024,armando-izzo,Italy,1992-03-02 00:00:00,Centre-Back,Defender,right,183.0,2028-06-30 00:00:00,https://img.a.transfermarkt.technology/portrait/header/32113-1770426329.jpg?lm=1,3.0,0.0,https://www.transfermarkt.co.uk/armando-izzo/profil/spieler/32113,AC Monza,1300000.0,25000000.0
Stefano,Sensi,Stefano Sensi,2024,stefano-sensi,Italy,1995-08-05 00:00:00,Central Midfield,Midfield,right,168.0,2027-05-31 00:00:00,https://img.a.transfermarkt.technology/portrait/header/216179-1692962617.jpg?lm=1,9.0,3.0,https://www.transfermarkt.co.uk/stefano-sensi/profil/spieler/216179,AC Monza,1200000.0,30000000.0
Patrick,Ciurria,Patrick Ciurria,2024,patrick-ciurria,Italy,1995-02-09 00:00:00,Right Midfield,Midfield,both,178.0,2028-06-30 00:00:00,https://img.a.transfermarkt.technology/portrait/header/255838-1695030937.jpg?lm=1,3.0,0.0,https://www.transfermarkt.co.uk/patrick-ciurria/profil/spieler/255838,AC Monza,1000000.0,5000000.0
Pepín,Machín,Pepín Machín,2024,pepin-machin,Equatorial Guinea,1996-08-14 00:00:00,Attacking Midfield,Midfield,right,184.0,2027-06-30 00:00:00,https://img.a.transfermarkt.technology/portrait/header/355104-1663658789.jpg?lm=1,36.0,0.0,https://www.transfermarkt.co.uk/pepin-machin/profil/spieler/355104,AC Monza,1000000.0,2600000.0
Keita,Baldé,Keita Baldé,2024,keita-balde,Spain,1995-03-08 00:00:00,Left Winger,Attack,both,178.0,2027-06-30 00:00:00,https://img.a.transfermarkt.technology/portrait/header/238752-1726065554.png?lm=1,40.0,6.0,https://www.transfermarkt.co.uk/keita-balde/profil/spieler/238752,AC Monza,900000.0,30000000.0
Valentin,Antov,Valentin Antov,2025,valentin-antov,Bulgaria,2000-11-09 00:00:00,Centre-Back,Defender,right,187.0,2027-06-30 00:00:00,https://img.a.transfermarkt.technology/portrait/header/227347-1692964215.jpg?lm=1,33.0,2.0,https://www.transfermarkt.co.uk/valentin-antov/profil/spieler/227347,AC Monza,800000.0,2000000.0
Semuel,Pizzignacco,Semuel Pizzignacco,2024,semuel-pizzignacco,Italy,2001-09-01 00:00:00,Goalkeeper,Goalkeeper,right,188.0,2027-06-30 00:00:00,https://img.a.transfermarkt.technology/portrait/header/537171-1725530533.jpg?lm=1,0.0,0.0,https://www.transfermarkt.co.uk/semuel-pizzignacco/profil/spieler/537171,AC Monza,750000.0,800000.0
Danilo,D'Ambrosio,Danilo D'Ambrosio,2024,danilo-dambrosio,Italy,1988-09-09 00:00:00,Centre-Back,Defender,right,180.0,,https://img.a.transfermarkt.technology/portrait/header/55769-1595925735.jpg?lm=1,6.0,0.0,https://www.transfermarkt.co.uk/danilo-dambrosio/profil/spieler/55769,AC Monza,700000.0,13000000.0
Mattia,Valoti,Mattia Valoti,2024,mattia-valoti,Italy,1993-09-06 00:00:00,Central Midfield,Midfield,right,187.0,2026-06-30 00:00:00,https://img.a.transfermarkt.technology/portrait/header/167741-1663659383.jpg?lm=1,2.0,0.0,https://www.transfermarkt.co.uk/mattia-valoti/profil/spieler/167741,AC Monza,600000.0,2500000.0
Andrea,Petagna,Andrea Petagna,2024,andrea-petagna,Italy,1995-06-30 00:00:00,Centre-Forward,Attack,left,190.0,2027-06-30 00:00:00,https://img.a.transfermarkt.technology/portrait/header/199258-1660297353.jpg?lm=1,1.0,0.0,https://www.transfermarkt.co.uk/andrea-petagna/profil/spieler/199258,AC Monza,500000.0,20000000.0
Mirko,Marić,Mirko Marić,2024,mirko-maric,Bosnia-Herzegovina,1995-05-16 00:00:00,Centre-Forward,Attack,left,188.0,2026-06-30 00:00:00,https://img.a.transfermarkt.technology/portrait/header/215649-1661764396.jpg?lm=1,2.0,0.0,https://www.transfermarkt.co.uk/mirko-maric/profil/spieler/215649,AC Monza,500000.0,4500000.0
Stefano,Gori,Stefano Gori,2023,stefano-gori,Italy,1996-03-09 00:00:00,Goalkeeper,Goalkeeper,right,185.0,2025-06-30 00:00:00,https://img.a.transfermarkt.technology/portrait/header/244491-1602072798.jpg?lm=1,,,https://www.transfermarkt.co.uk/stefano-gori/profil/spieler/244491,AC Monza,500000.0,2300000.0
Alessandro,Sorrentino,Alessandro Sorrentino,2024,alessandro-sorrentino,Italy,2002-04-03 00:00:00,Goalkeeper,Goalkeeper,right,190.0,2026-06-30 00:00:00,https://img.a.transfermarkt.technology/portrait/header/542588-1657778358.jpg?lm=1,1.0,0.0,https://www.transfermarkt.co.uk/alessandro-sorrentino/profil/spieler/542588,AC Monza,450000.0,800000.0
Luca,Caldirola,Luca Caldirola,2024,luca-caldirola,Italy,1991-02-01 00:00:00,Centre-Back,Defender,left,186.0,2026-06-30 00:00:00,https://img.a.transfermarkt.technology/portrait/header/88680-1712508051.jpg?lm=1,31.0,1.0,https://www.transfermarkt.co.uk/luca-caldirola/profil/spieler/88680,AC Monza,400000.0,4000000.0
Leonardo,Colombo,Leonardo Colombo,2024,leonardo-colombo,Italy,2005-06-04 00:00:00,Defensive Midfield,Midfield,right,179.0,2029-06-30 00:00:00,https://img.a.transfermarkt.technology/portrait/header/891869-1673249187.jpg?lm=1,2.0,0.0,https://www.transfermarkt.co.uk/leonardo-colombo/profil/spieler/891869,AC Monza,400000.0,400000.0
Nicolò,Postiglione,Nicolò Postiglione,2024,nicolo-postiglione,,2005-04-16 00:00:00,Centre-Back,Defender,right,190.0,2030-06-30 00:00:00,https://img.a.transfermarkt.technology/portrait/header/901027-1730706813.jpg?lm=1,1.0,1.0,https://www.transfermarkt.co.uk/nicolo-postiglione/profil/spieler/901027,AC Monza,400000.0,400000.0
Alessandro,Berretta,Alessandro Berretta,2024,alessandro-berretta,,2006-07-01 00:00:00,Central Midfield,Midfield,,186.0,2026-06-30 00:00:00,https://img.a.transfermarkt.technology/portrait/header/898356-1712039419.jpg?lm=1,3.0,0.0,https://www.transfermarkt.co.uk/alessandro-berretta/profil/spieler/898356,AC Monza,350000.0,350000.0
Giulio,Donati,Giulio Donati,2023,giulio-donati,Italy,1990-02-05 00:00:00,Right-Back,Defender,right,178.0,,https://img.a.transfermarkt.technology/portrait/header/88684-1661763281.jpg?lm=1,,,https://www.transfermarkt.co.uk/giulio-donati/profil/spieler/88684,AC Monza,300000.0,5000000.0
Davide,Bettella,Davide Bettella,2024,davide-bettella,Italy,2000-04-07 00:00:00,Centre-Back,Defender,right,185.0,2028-06-30 00:00:00,https://img.a.transfermarkt.technology/portrait/header/357995-1695107780.jpg?lm=1,3.0,0.0,https://www.transfermarkt.co.uk/davide-bettella/profil/spieler/357995,AC Monza,300000.0,4000000.0
Andrea,Ferraris,Andrea Ferraris,2023,andrea-ferraris,Italy,2003-02-22 00:00:00,Left Winger,Attack,right,,2027-06-30 00:00:00,https://img.a.transfermarkt.technology/portrait/header/708079-1704955519.jpg?lm=1,,,https://www.transfermarkt.co.uk/andrea-ferraris/profil/spieler/708079,AC Monza,200000.0,200000.0
Marco,D'Alessandro,Marco D'Alessandro,2024,marco-dalessandro,Italy,1991-02-17 00:00:00,Right Winger,Attack,right,173.0,2026-06-30 00:00:00,https://img.a.transfermarkt.technology/portrait/header/99232-1595930106.jpg?lm=1,10.0,0.0,https://www.transfermarkt.co.uk/marco-dalessandro/profil/spieler/99232,AC Monza,175000.0,2500000.0
Eugenio,Lamanna,Eugenio Lamanna,2023,eugenio-lamanna,Italy,1989-08-07 00:00:00,Goalkeeper,Goalkeeper,right,187.0,,https://img.a.transfermarkt.technology/portrait/header/85240-1661763821.jpg?lm=1,,,https://www.transfermarkt.co.uk/eugenio-lamanna/profil/spieler/85240,AC Monza,100000.0,2500000.0
Andrea,Mazza,Andrea Mazza,2024,andrea-mazza,Italy,2004-03-19 00:00:00,Goalkeeper,Goalkeeper,right,190.0,2027-06-30 00:00:00,https://img.a.transfermarkt.technology/portrait/header/815567-1707727257.jpg?lm=1,,,https://www.transfermarkt.co.uk/andrea-mazza/profil/spieler/815567,AC Monza,75000.0,75000.0
Davide,Bifulco,Davide Bifulco,2024,davide-bifulco,Italy,2006-01-04 00:00:00,Goalkeeper,Goalkeeper,right,,2026-06-30 00:00:00,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,https://www.transfermarkt.co.uk/davide-bifulco/profil/spieler/1049864,AC Monza,50000.0,50000.0
