id,Giocatore_Supa,Giocatore_TM,detentore_cartellino,Club_Supa,Club_TM,name_clean,nome_clean
907,Mosconi,,Svincolato,Inter,,,mosconi
902,Vermesan,,Svincolato,Verona,,,vermesan
901,Giacomone,,Svincolato,Lazio,,,giacomone
900,Pannozzo,,Svincolato,Lazio,,,pannozzo
906,Mikolajewski,,Svincolato,Parma,,,mikolajewski
905,Braschi,,Svincolato,Fiorentina,,,braschi
805,Zanimacchia,,Svincolato,Cremonese,,,zanimacchia
865,Esteves G.,,Diablitos FC,Udinese,,,esteves g.
740,Charpentier,,Svincolato,Parma,,,charpentier
130,Kaba,,Svincolato,Lecce,,,kaba
684,Kyriakopoulos,,Svincolato,Monza,,,kyriakopoulos
661,Toloi,,Svincolato,Atalanta,,,toloi
666,Marin,,Svincolato,Cagliari,,,marin
823,Sernicola,,Svincolato,Cremonese,,,sernicola
659,Tchaouna,,Svincolato,Lazio,,,tchaouna
713,Marin Re.,,Svincolato,Roma,,,marin re.
829,Thauvin,,Svincolato,Udinese,,,thauvin
708,Ilic M.,,Svincolato,Bologna,,,ilic m.
819,Paredes,,Svincolato,Roma,,,paredes
817,Kouda,,Svincolato,Parma,,,kouda
650,Castagnetti,,Svincolato,Cremonese,,,castagnetti
847,Le Fee,,Svincolato,Roma,,,le fee
850,Bonfanti N.,,Svincolato,Pisa,,,bonfanti n.
794,Martinez Quarta,,Svincolato,Fiorentina,,,martinez quarta
628,Hatzidiakos,,Svincolato,Cagliari,,,hatzidiakos
759,Russo A.,,Svincolato,Sassuolo,,,russo a.
839,Kovacik,,Svincolato,Como,,,kovacik
810,Shomurodov,,Svincolato,Roma,,,shomurodov
745,Karamoh,,Svincolato,Torino,,,karamoh
581,Osorio,,Svincolato,Parma,,,osorio
743,Plizzari,,Svincolato,Venezia,,,plizzari
683,Bennacer,,CyberDucks,Milan,,,bennacer
698,Emerson Royal,,Svincolato,Milan,,,emerson royal
795,Kolo Muani,,Svincolato,Juventus,,,kolo muani
820,Kayode,,Svincolato,Fiorentina,,,kayode
585,Degli Innocenti,,Svincolato,Empoli,,,degli innocenti
595,Kvaratskhelia,,Svincolato,Napoli,,,kvaratskhelia
736,Correa,,Svincolato,Inter,,,correa
813,Tessmann,,Svincolato,Venezia,,,tessmann
579,Mihaila,,Svincolato,Parma,,,mihaila
788,Pizarro,,ZeroDayz FC,Udinese,,,pizarro
596,Amrabat,,Svincolato,Fiorentina,,,amrabat
756,Bellemo,,Svincolato,Como,,,bellemo
841,Buchanan T.,,Svincolato,Inter,,,buchanan t.
274,Lamptey,,Svincolato,Fiorentina,,,lamptey
643,Godfrey,,CyberDucks,Atalanta,,,godfrey
616,Rus,,Svincolato,Pisa,,,rus
802,Bonifazi,,Svincolato,Lecce,,,bonifazi
861,Marì,,Svincolato,Fiorentina,,,mari
730,Leoni,,Svincolato,Parma,,,leoni
103,Gorter,,Svincolato,Lecce,,,gorter
782,Pavard,,CyberDucks,Inter,,,pavard
625,Gonzalez N.,,FC Sovescio,Juventus,,,gonzalez n.
818,Joao Costa,,Svincolato,Roma,,,joao costa
866,Walker,,Svincolato,Milan,,,walker
293,Kouassi,,Svincolato,Lecce,,,kouassi
848,Ibrahimovic A.,,Svincolato,Lazio,,,ibrahimovic a.
806,Ravanelli,,Svincolato,Cremonese,,,ravanelli
504,Guaita,,Svincolato,Parma,,,guaita
719,Hasa,,Svincolato,Napoli,,,hasa
560,Musso,,Svincolato,Atalanta,,,musso
724,Pereira P.,,Svincolato,Monza,,,pereira p.
842,Hateboer,,Svincolato,Atalanta,,,hateboer
655,Kumbulla,,Svincolato,Roma,,,kumbulla
632,Maric,,Svincolato,Venezia,,,maric
26,Cutrone,,CyberDucks,Parma,,,cutrone
647,Beltran L.,,FC Pontos,Fiorentina,,,beltran l.
618,Billing,,Svincolato,Napoli,,,billing
771,Thiaw,,Svincolato,Milan,,,thiaw
569,Camara D.,,Svincolato,Parma,,,camara d.
750,Arthur Melo,,Svincolato,Juventus,,,arthur melo
718,Selvik,,Svincolato,Udinese,,,selvik
343,Unai Nunez,,Svincolato,Verona,,,unai nunez
704,Savona,,Svincolato,Juventus,,,savona
722,Carboni V.,,Metodo Monchi FC,Genoa,,,carboni v.
323,Bonfanti,,Svincolato,Pisa,,,bonfanti
779,Abdulhamid,,Svincolato,Roma,,,abdulhamid
799,Ganvoula,,Svincolato,Monza,,,ganvoula
648,Schingtienne,,Svincolato,Venezia,,,schingtienne
35,N'Dri,,Svincolato,Lecce,,,n'dri
663,Smalling,,Svincolato,Roma,,,smalling
807,Cacace,,Svincolato,Empoli,,,cacace
192,Bailey,,Svincolato,Roma,,,bailey
589,Karlsson,,FC Pontos,Bologna,,,karlsson
2,Kouamè,,Svincolato,Fiorentina,,,kouame
783,Man,,Svincolato,Parma,,,man
815,Ebosele,,Svincolato,Udinese,,,ebosele
774,Jimenez A.,,Svincolato,Milan,,,jimenez a.
577,Matturro,,Svincolato,Genoa,,,matturro
685,Azzi,,Svincolato,Cremonese,,,azzi
612,Ryan,,Svincolato,Roma,,,ryan
758,Luan Patrick,,Svincolato,Verona,,,luan patrick
619,Kasa,,Svincolato,Genoa,,,kasa
830,Chukwueze,,AC Ciaccati,Milan,,,chukwueze
315,Lovik,,Svincolato,Parma,,,lovik
855,Solbakken,,Svincolato,Empoli,,,solbakken
530,Arena A.,,Svincolato,Roma,,,arena a.
1,Balentien,,Svincolato,Milan,,,balentien
557,Castrovilli,,Svincolato,Monza,,,castrovilli
715,Calabria,,Svincolato,Bologna,,,calabria
746,Jasim,,Svincolato,Como,,,jasim
110,Kastanos,,Baby Reijnders,Verona,,,kastanos
691,Reijnders,,Svincolato,Milan,,,reijnders
649,Adli,,Svincolato,Fiorentina,,,adli
550,Castellanos,,Svincolato,Lazio,,,castellanos
803,Lekovic,,Svincolato,Monza,,,lekovic
170,Vecino,,Svincolato,Lazio,,,vecino
147,Tete Morente,,Svincolato,Lecce,,,tete morente
567,Ferreira J.,,Svincolato,Udinese,,,ferreira j.
533,Dzeko,,Svincolato,Fiorentina,,,dzeko
54,Lookman,,Svincolato,Atalanta,,,lookman
12,Lucca,,Svincolato,Napoli,,,lucca
706,Pellegri,,Svincolato,Empoli,,,pellegri
471,Vasquez D.,,Svincolato,Roma,,,vasquez d.
309,Goglichidze,,AC Ciaccati,Udinese,,,goglichidze
747,De Luca,,Svincolato,Cremonese,,,de luca
