id,Giocatore_Supa,Giocatore_TM,detentore_cartellino,Club_Supa,Club_TM,name_clean,nome_clean
44,Fullkrug,Niclas Füllkrug,Svincolato,Milan,Associazione Calcio Milan,niclas fullkrug,fullkrug
50,Borrelli,Gennaro Borrelli,Svincolato,Cagliari,Cagliari Calcio,gennaro borrelli,borrelli
34,Kilicsoy,Semih Kılıçsoy,Diablitos FC,Cagliari,Cagliari Calcio,semih kilicsoy,kilicsoy
896,Lahdo,Adrian Lahdo,Svincolato,Como,Calcio Como,adrian lahdo,lahdo
897,Bakola,Darryl Bakola,Svincolato,Sassuolo,Unione Sportiva Sassuolo Calcio,darryl bakola,bakola
870,Bozhinov,Rosen Bozhinov,Svincolato,Pisa,Pisa Sporting Club,rosen bozhinov,bozhinov
305,Faye,Mikayil Faye,Svincolato,Cremonese,Unione Sportiva Cremonese S.p.A.,mikayil faye,faye
904,Balbo,Luis Balbo,Svincolato,Fiorentina,Associazione Calcio Fiorentina,luis balbo,balbo
874,Lirola,Pol Lirola,Svincolato,Verona,Verona Hellas Football Club,pol lirola,lirola
335,Lykogiannis,Charalampos Lykogiannis,Svincolato,Bologna,Bologna Football Club 1909,charalampos lykogiannis,lykogiannis
879,Zatterstrom,Nils Zätterström,Svincolato,Genoa,Genoa Cricket and Football Club,nils zatterstrom,zatterstrom
304,Coulibaly W.,Woyo Coulibaly,Svincolato,Sassuolo,Unione Sportiva Sassuolo Calcio,woyo coulibaly,coulibaly w.
337,Vitik,Martin Vitík,ZeroDayz FC,Bologna,Bologna Football Club 1909,martin vitik,vitik
423,Kossounou,Odilon Kossounou,Baby Reijnders,Atalanta,Atalanta Bergamasca Calcio S.p.a.,odilon kossounou,kossounou
398,Hien,Isak Hien,CyberDucks,Atalanta,Atalanta Bergamasca Calcio S.p.a.,isak hien,hien
417,Circati,Alessandro Circati,AC Ciaccati,Parma,Parma Calcio 1913,alessandro circati,circati
414,Angori,Samuele Angori,FC Pontos,Pisa,Pisa Sporting Club,samuele angori,angori
416,Delprato,Enrico Delprato,Sborada,Parma,Parma Calcio 1913,enrico delprato,delprato
412,Zappacosta,Davide Zappacosta,ZeroDayz FC,Atalanta,Atalanta Bergamasca Calcio S.p.a.,davide zappacosta,zappacosta
903,Mendy P.,Paul Mendy,Svincolato,Cagliari,Cagliari Calcio,paul mendy,mendy p.
674,Augello,Tommaso Augello,Svincolato,Cagliari,Cagliari Calcio,tommaso augello,augello
887,Przyborek,Adrian Przyborek,Svincolato,Lazio,Società Sportiva Lazio S.p.A.,adrian przyborek,przyborek
892,Zaragoza,Bryan Zaragoza,Baby Reijnders,Roma,Associazione Sportiva Roma,bryan zaragoza,zaragoza
893,Santos A.,Alisson Santos,FC Pontos,Napoli,Società Sportiva Calcio Napoli,alisson santos,santos a.
260,Zambo Anguissa,Frank Anguissa,FC Pontos,Napoli,Società Sportiva Calcio Napoli,frank anguissa,zambo anguissa
261,Modric,Luka Modrić,FC Sovescio,Milan,Associazione Calcio Milan,luka modric,modric
252,Zielinski,Piotr Zielinski,FC Pontos,Inter,Football Club Internazionale Milano S.p.A.,piotr zielinski,zielinski
268,Paz N.,Nico Paz,FC Sovescio,Como,Calcio Como,nico paz,paz n.
894,Pedro Felipe,Pedro Felipe,Svincolato,Sassuolo,Unione Sportiva Sassuolo Calcio,pedro felipe,pedro felipe
384,Kristensen T.,Thomas Kristensen,CyberDucks,Udinese,Udinese Calcio,thomas kristensen,kristensen t.
899,Siviero,Lapo Siviero,Svincolato,Torino,Torino Calcio,lapo siviero,siviero
727,Corazza,Tommaso Corazza,Sborada,Bologna,Bologna Football Club 1909,tommaso corazza,corazza
692,Magnani,Giangiacomo Magnani,Svincolato,Verona,Verona Hellas Football Club,giangiacomo magnani,magnani
835,Grandi,Matteo Grandi,Svincolato,Venezia,Venezia FC,matteo grandi,grandi
552,Sverko,Marin Šverko,Svincolato,Venezia,Venezia FC,marin sverko,sverko
640,Dani Silva,Dani Silva,Svincolato,Verona,Verona Hellas Football Club,dani silva,dani silva
697,Bagnolini,Nicola Bagnolini,Svincolato,Bologna,Bologna Football Club 1909,nicola bagnolini,bagnolini
678,Akinsamiro,Ebenezer Akinsanmiro,Svincolato,Pisa,Pisa Sporting Club,ebenezer akinsanmiro,akinsamiro
597,Pereiro,Gastón Pereiro,Svincolato,Genoa,Genoa Cricket and Football Club,gaston pereiro,pereiro
56,Ratkov,Petar Ratkov,FC Pontos,Lazio,Società Sportiva Lazio S.p.A.,petar ratkov,ratkov
883,Amorim,Amorim,Svincolato,Genoa,Genoa Cricket and Football Club,amorim,amorim
877,Loyola,Felipe Loyola,Svincolato,Pisa,Pisa Sporting Club,felipe loyola,loyola
256,Odgaard,Jens Odgaard,AC Ciaccati,Bologna,Bologna Football Club 1909,jens odgaard,odgaard
258,Saelemaekers,Alexis Saelemaekers,Sborada,Milan,Associazione Calcio Milan,alexis saelemaekers,saelemaekers
889,Raterink,Othniël Raterink,Svincolato,Cagliari,Cagliari Calcio,othniel raterink,raterink
324,Albiol,Raúl Albiol,Svincolato,Pisa,Pisa Sporting Club,raul albiol,albiol
