first_name,last_name,name,last_season,player_code,country_of_birth,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,image_url,international_caps,international_goals,url,current_club_name,market_value_in_eur,highest_market_value_in_eur
Nadiem,Amiri,Nadiem Amiri,2025,nadiem-amiri,Germany,1996-10-27 00:00:00,Central Midfield,Midfield,right,180.0,2028-06-30 00:00:00,https://img.a.transfermarkt.technology/portrait/header/232454-1722885996.jpg?lm=1,12.0,1.0,https://www.transfermarkt.co.uk/nadiem-amiri/profil/spieler/232454,1. Fußball- und Sportverein Mainz 05,17000000.0,22000000.0
Stefan,Posch,Stefan Posch,2025,stefan-posch,Austria,1997-05-14 00:00:00,Centre-Back,Defender,right,188.0,2026-06-30 00:00:00,https://img.a.transfermarkt.technology/portrait/header/223974-1725531246.jpg?lm=1,54.0,5.0,https://www.transfermarkt.co.uk/stefan-posch/profil/spieler/223974,1. Fußball- und Sportverein Mainz 05,6000000.0,14000000.0
Silvan,Widmer,Silvan Widmer,2025,silvan-widmer,Switzerland,1993-03-05 00:00:00,Right-Back,Defender,right,183.0,,https://img.a.transfermarkt.technology/portrait/header/168989-1629202510.jpg?lm=1,62.0,5.0,https://www.transfermarkt.co.uk/silvan-widmer/profil/spieler/168989,1. Fußball- und Sportverein Mainz 05,800000.0,9000000.0
Arijon,Ibrahimovic,Arijon Ibrahimovic,2025,arijon-ibrahimovic,Germany,2005-12-11 00:00:00,Attacking Midfield,Midfield,right,178.0,2026-06-30 00:00:00,https://img.a.transfermarkt.technology/portrait/header/744728-1755088466.jpg?lm=1,2.0,0.0,https://www.transfermarkt.co.uk/arijon-ibrahimovic/profil/spieler/744728,1. Fußballclub Heidenheim 1846,10000000.0,10000000.0
Luka,Lochoshvili,Luka Lochoshvili,2025,luka-lochoshvili,Georgia,1998-05-29 00:00:00,Centre-Back,Defender,left,192.0,2029-06-30 00:00:00,https://img.a.transfermarkt.technology/portrait/header/345189-1753444358.jpg?lm=1,32.0,4.0,https://www.transfermarkt.co.uk/luka-lochoshvili/profil/spieler/345189,1.FC Nuremberg,2500000.0,2500000.0
Stefan,Mitrović,Stefan Mitrović,2025,stefan-mitrovic,Yugoslavia (Republic),2002-08-15 00:00:00,Left Winger,Attack,right,182.0,2026-06-30 00:00:00,https://img.a.transfermarkt.technology/portrait/header/726526-1694785618.jpg?lm=1,10.0,0.0,https://www.transfermarkt.co.uk/stefan-mitrovic/profil/spieler/726526,A.G.S Asteras Tripolis,800000.0,3500000.0
Ervin,Zukanovic,Ervin Zukanovic,2023,ervin-zukanovic,Jugoslawien (SFR),1987-02-11 00:00:00,Centre-Back,Defender,left,188.0,,https://img.a.transfermarkt.technology/portrait/header/44059-1448964735.jpg?lm=1,,,https://www.transfermarkt.co.uk/ervin-zukanovic/profil/spieler/44059,A.G.S Asteras Tripolis,125000.0,4000000.0
Matteo,Pessina,Matteo Pessina,2024,matteo-pessina,Italy,1997-04-21 00:00:00,Central Midfield,Midfield,left,187.0,2027-06-30 00:00:00,https://img.a.transfermarkt.technology/portrait/header/332179-1661268524.jpg?lm=1,16.0,5.0,https://www.transfermarkt.co.uk/matteo-pessina/profil/spieler/332179,AC Monza,5000000.0,20000000.0
Dany,Mota,Dany Mota,2024,dany-mota,Luxembourg,1998-05-02 00:00:00,Centre-Forward,Attack,right,180.0,2027-06-30 00:00:00,https://img.a.transfermarkt.technology/portrait/header/347253-1652095197.jpg?lm=1,0.0,0.0,https://www.transfermarkt.co.uk/dany-mota/profil/spieler/347253,AC Monza,5000000.0,6000000.0
Gianluca,Caprari,Gianluca Caprari,2024,gianluca-caprari,Italy,1993-07-30 00:00:00,Second Striker,Attack,right,171.0,2026-06-30 00:00:00,https://img.a.transfermarkt.technology/portrait/header/146752-1663659110.jpg?lm=1,1.0,0.0,https://www.transfermarkt.co.uk/gianluca-caprari/profil/spieler/146752,AC Monza,4000000.0,10000000.0
